id,name,fullTimeEmployees,Industry,Country
GOOGL,Alphabet Inc.,182502.0,Communication Services,United States
MTCH,"Match Group, Inc.",2600.0,Communication Services,United States
META,"Meta Platforms, Inc.",67317.0,Communication Services,United States
NFLX,"Netflix, Inc.",13000.0,Communication Services,United States
OMC,Omnicom Group Inc.,75900.0,Communication Services,United States
PARA,Paramount Global,21900.0,Communication Services,United States
TTWO,"Take-Two Interactive Software, ",11580.0,Communication Services,United States
VZ,Verizon Communications Inc.,105400.0,Communication Services,United States
DIS,Walt Disney Company (The),173250.0,Communication Services,United States
ABNB,"Airbnb, Inc.",6907.0,Consumer Cyclical,United States
AMZN,"Amazon.com, Inc.",1525000.0,Consumer Cyclical,United States
APTV,Aptiv PLC,154000.0,Consumer Cyclical,Ireland
AZO,"AutoZone, Inc.",71400.0,Consumer Cyclical,United States
BBWI,"Bath & Body Works, Inc.",8981.0,Consumer Cyclical,United States
BBY,"Best Buy Co., Inc.",85000.0,Consumer Cyclical,United States
BKNG,Booking Holdings Inc. Common St,23364.0,Consumer Cyclical,United States
BWA,BorgWarner Inc.,39900.0,Consumer Cyclical,United States
CZR,"Caesars Entertainment, Inc.",51000.0,Consumer Cyclical,United States
KMX,CarMax Inc,30000.0,Consumer Cyclical,United States
CCL,Carnival Corporation,106000.0,Consumer Cyclical,United States
CMG,"Chipotle Mexican Grill, Inc.",116068.0,Consumer Cyclical,United States
DRI,"Darden Restaurants, Inc.",187384.0,Consumer Cyclical,United States
DECK,Deckers Outdoor Corporation,4200.0,Consumer Cyclical,United States
DPZ,Domino's Pizza Inc,6500.0,Consumer Cyclical,United States
DHI,"D.R. Horton, Inc.",13450.0,Consumer Cyclical,United States
EBAY,eBay Inc.,12300.0,Consumer Cyclical,United States
ETSY,"Etsy, Inc.",2420.0,Consumer Cyclical,United States
EXPE,"Expedia Group, Inc.",17100.0,Consumer Cyclical,United States
F,Ford Motor Company,177000.0,Consumer Cyclical,United States
GRMN,Garmin Ltd.,19900.0,Technology,Switzerland
GM,General Motors Company,163000.0,Consumer Cyclical,United States
GPC,Genuine Parts Company,60000.0,Consumer Cyclical,United States
HAS,"Hasbro, Inc.",5502.0,Consumer Cyclical,United States
HLT,Hilton Worldwide Holdings Inc.,178000.0,Consumer Cyclical,United States
HD,"Home Depot, Inc. (The)",463100.0,Consumer Cyclical,United States
LVS,Las Vegas Sands Corp.,38400.0,Consumer Cyclical,United States
LEN,Lennar Corporation,12284.0,Consumer Cyclical,United States
LKQ,LKQ Corporation,49000.0,Consumer Cyclical,United States
LOW,"Lowe's Companies, Inc.",168000.0,Consumer Cyclical,United States
LULU,lululemon athletica inc.,38000.0,Consumer Cyclical,Canada
MAR,Marriott International,411000.0,Consumer Cyclical,United States
MCD,McDonald's Corporation,100000.0,Consumer Cyclical,United States
MGM,MGM Resorts International,58000.0,Consumer Cyclical,United States
MHK,"Mohawk Industries, Inc.",43300.0,Consumer Cyclical,United States
NKE,"Nike, Inc.",83700.0,Consumer Cyclical,United States
NCLH,Norwegian Cruise Line Holdings ,41000.0,Consumer Cyclical,United States
ORLY,"O'Reilly Automotive, Inc.",90189.0,Consumer Cyclical,United States
POOL,Pool Corporation,6000.0,Industrials,United States
PHM,"PulteGroup, Inc.",6382.0,Consumer Cyclical,United States
RL,Ralph Lauren Corporation,14900.0,Consumer Cyclical,United States
ROST,"Ross Stores, Inc.",108000.0,Consumer Cyclical,United States
RCL,Royal Caribbean Cruises Ltd.,98100.0,Consumer Cyclical,United States
SBUX,Starbucks Corporation,381000.0,Consumer Cyclical,United States
TSLA,"Tesla, Inc.",140473.0,Consumer Cyclical,United States
TJX,"TJX Companies, Inc. (The)",349000.0,Consumer Cyclical,United States
TSCO,Tractor Supply Company,25000.0,Consumer Cyclical,United States
ULTA,"Ulta Beauty, Inc.",20000.0,Consumer Cyclical,United States
WYNN,"Wynn Resorts, Limited",27800.0,Consumer Cyclical,United States
MO,"Altria Group, Inc.",6400.0,Consumer Defensive,United States
ADM,Archer-Daniels-Midland Company,40213.0,Consumer Defensive,United States
CPB,Campbell Soup Company,14500.0,Consumer Defensive,United States
CHD,"Church & Dwight Company, Inc.",5550.0,Consumer Defensive,United States
CLX,Clorox Company (The),8700.0,Consumer Defensive,United States
KO,Coca-Cola Company (The),79100.0,Consumer Defensive,United States
CL,Colgate-Palmolive Company,34000.0,Consumer Defensive,United States
CAG,"ConAgra Brands, Inc.",18600.0,Consumer Defensive,United States
STZ,"Constellation Brands, Inc.",10700.0,Consumer Defensive,United States
COST,Costco Wholesale Corporation,316000.0,Consumer Defensive,United States
GIS,"General Mills, Inc.",34000.0,Consumer Defensive,United States
HSY,The Hershey Company,18650.0,Consumer Defensive,United States
HRL,Hormel Foods Corporation,20000.0,Consumer Defensive,United States
K,Kellanova,23000.0,Consumer Defensive,United States
KVUE,Kenvue Inc.,22000.0,Consumer Defensive,United States
KDP,Keurig Dr Pepper Inc.,28100.0,Consumer Defensive,United States
KMB,Kimberly-Clark Corporation,41000.0,Consumer Defensive,United States
KHC,The Kraft Heinz Company,36000.0,Consumer Defensive,United States
KR,Kroger Company (The),414000.0,Consumer Defensive,United States
LW,"Lamb Weston Holdings, Inc.",10200.0,Consumer Defensive,United States
MKC,"McCormick & Company, Incorporat",13800.0,Consumer Defensive,United States
TAP,Molson Coors Beverage Company,16500.0,Consumer Defensive,United States
MDLZ,"Mondelez International, Inc.",91000.0,Consumer Defensive,United States
MNST,Monster Beverage Corporation,5254.0,Consumer Defensive,United States
PEP,"Pepsico, Inc.",318000.0,Consumer Defensive,United States
PM,Philip Morris International Inc,82700.0,Consumer Defensive,United States
PG,Procter & Gamble Company (The),107000.0,Consumer Defensive,United States
SYY,Sysco Corporation,72000.0,Consumer Defensive,United States
TGT,Target Corporation,415000.0,Consumer Defensive,United States
TSN,"Tyson Foods, Inc.",139000.0,Consumer Defensive,United States
WBA,"Walgreens Boots Alliance, Inc.",330000.0,Healthcare,United States
