company_id,AuditRisk,Dividend rate,Dividend Yield,Payout rate,Beta,Market Cap,profit margins,short ratio,quick ratio,current ratio,debtToEquity
GOOGL,10.0,,,,1.044,48.781809577762054,0.24007,1.63,1.942,2.097,10.54
MTCH,5.0,,,,1.483,0.22809407614669935,0.19364999,2.09,2.195,2.391,
META,8.0,2.0,0.004,,1.208,33.292657973001575,0.28983,1.77,2.552,2.671,24.76
NFLX,10.0,,,,1.219,6.708789036609085,0.16036,2.36,1.013,1.119,82.442
OMC,7.0,2.8,0.0298,0.4052,0.971,0.45591112169136394,0.0947,5.03,0.806,0.947,147.833
PARA,9.0,0.2,0.0182,0.932,1.783,0.19134741196223787,-0.020499999,4.65,0.992,1.316,69.918
TTWO,9.0,,,,0.741,0.6526930631185874,-0.26898,4.2,0.623,0.824,41.442
VZ,1.0,2.66,0.0651,0.9582,0.394,4.291766124061796,0.086689994,2.61,0.51,0.692,190.404
DIS,6.0,0.9,0.0074,0.184,1.412,5.396931615646603,0.03358,1.82,0.687,0.837,45.203
ABNB,9.0,,,,1.251,2.116694096475311,0.48321,3.56,1.033,1.659,28.218
AMZN,5.0,,,,1.16,39.75848274168674,0.05293,1.98,0.807,1.045,80.037
APTV,3.0,,,,1.91,0.422124804939554,0.14653,2.78,1.17,1.715,57.303
AZO,1.0,,,,0.705,1.0857475499967886,0.147,2.52,0.098,0.816,
BBWI,8.0,0.8,0.0173,0.2083,1.876,0.21185986029331225,0.118190005,1.79,1.015,1.641,
BBY,3.0,3.76,0.045500003,0.6479,1.506,0.3641519671309177,0.02856,3.59,0.302,0.998,130.429
BKNG,2.0,35.0,0.0098,,1.402,2.540392008927955,0.20075001,2.48,1.195,1.278,
BWA,8.0,0.44,0.0124,0.2074,1.285,0.16594545964264104,0.04402,3.69,1.237,1.65,64.771
CZR,4.0,,,,2.811,0.18591648065120603,0.068179995,2.56,0.6,0.76,546.589
KMX,2.0,,,,1.598,0.26043919374345403,0.01763,12.57,0.393,2.453,326.105
CCL,3.0,,,,2.55,0.413475190852196,0.01795,3.23,0.233,0.362,479.123
CMG,6.0,,,,1.301,1.6663033667976743,0.124469995,3.07,1.42,1.573,132.311
DRI,7.0,5.24,0.033099998,0.6026,1.257,0.38598749890303236,0.09236,4.37,0.137,0.386,314.352
DECK,6.0,,,,1.012,0.42928668083053023,0.1757,1.43,2.154,2.856,13.021
DPZ,8.0,6.04,0.0123000005,0.33020002,0.855,0.36107342083891414,0.11589,3.18,0.725,1.493,
DHI,5.0,1.2,0.0076,0.0756,1.643,1.0364734475093305,0.13177,1.94,0.608,5.297,23.325
EBAY,3.0,1.08,0.0208,0.1919,1.313,0.5592504979327899,0.27364,2.0,2.261,2.437,128.643
ETSY,7.0,,,,2.021,0.16407811170437933,0.11191,3.59,1.653,2.209,
EXPE,10.0,,,,1.865,0.37380594106633264,0.062080003,2.51,0.601,0.783,238.083
F,9.0,0.6,0.044299997,0.5556,1.626,1.0726193921076619,0.02467,2.75,1.007,1.196,353.07
