company_id,AuditRisk,Dividend rate,Dividend Yield,Payout rate,Beta,Market Cap,profit margins,short ratio,quick ratio,current ratio,debtToEquity
GOOGL,10.0,,,,1.044,49.22456670456338,0.24007,1.63,1.942,2.097,10.54
MTCH,5.0,,,,1.483,0.22435007298690782,0.19364999,2.09,2.195,2.391,
META,8.0,2.0,0.004,,1.208,33.02181833747406,0.28983,1.77,2.552,2.671,24.76
NFLX,10.0,,,,1.219,6.737094132408382,0.16036,2.36,1.013,1.119,82.442
OMC,7.0,2.8,0.030199999,0.4052,0.971,0.45201295166418054,0.0947,5.03,0.806,0.947,147.833
PARA,9.0,0.2,0.0177,0.932,1.783,0.19400473179155497,-0.020499999,4.65,0.992,1.316,69.918
TTWO,9.0,,,,0.741,0.6397805410589239,-0.26898,4.2,0.623,0.824,41.442
VZ,1.0,2.66,0.066199996,0.9582,0.394,4.186031942172712,0.086689994,2.61,0.51,0.692,190.404
DIS,6.0,0.9,0.0074,0.184,1.412,5.320340585879906,0.03358,1.82,0.687,0.837,45.203
ABNB,9.0,,,,1.251,2.156457920342998,0.48321,3.56,1.033,1.659,28.218
AMZN,5.0,,,,1.16,40.19267950629251,0.05293,1.98,0.807,1.045,80.037
APTV,3.0,,,,1.91,0.42225340788708204,0.14653,2.78,1.17,1.715,57.303
AZO,1.0,,,,0.705,1.0632658146778386,0.147,2.52,0.098,0.816,
BBWI,8.0,0.8,0.0173,0.2083,1.876,0.21244074130137283,0.118190005,1.79,1.015,1.641,
BBY,3.0,3.76,0.047,0.6479,1.506,0.35218905065198564,0.02856,3.59,0.302,0.998,130.429
BKNG,2.0,35.0,0.0095999995,,1.402,2.540557722292534,0.20075001,2.48,1.195,1.278,
BWA,8.0,0.44,0.0128,0.2074,1.285,0.16284429111747004,0.04402,3.69,1.237,1.65,64.771
CZR,4.0,,,,2.811,0.18663752531151798,0.068179995,2.56,0.6,0.76,546.589
KMX,2.0,,,,1.598,0.23185973517679986,0.01763,12.57,0.393,2.453,326.105
CCL,3.0,,,,2.55,0.4007903721766714,0.01795,3.23,0.233,0.362,479.123
CMG,6.0,,,,1.301,1.6760310119333373,0.124469995,3.07,1.42,1.573,132.311
DRI,7.0,5.24,0.033800002,0.6026,1.257,0.3781282138089633,0.09236,4.37,0.137,0.386,314.352
DECK,6.0,,,,1.012,0.4301266658524884,0.1757,1.43,2.154,2.856,13.021
DPZ,8.0,6.04,0.0123000005,0.33020002,0.855,0.3591212260725675,0.11589,3.18,0.725,1.493,
DHI,5.0,1.2,0.008,0.0756,1.643,1.0218972758872436,0.13177,1.94,0.608,5.297,23.325
EBAY,3.0,1.08,0.0208,0.1919,1.313,0.5493354217346285,0.27364,2.0,2.261,2.437,128.643
ETSY,7.0,,,,2.021,0.16566579127835107,0.11191,3.59,1.653,2.209,
EXPE,10.0,,,,1.865,0.37106607657990964,0.062080003,2.51,0.601,0.783,238.083
F,9.0,0.6,0.046,0.5556,1.626,1.0589834789134696,0.02467,2.75,1.007,1.196,353.07
GRMN,8.0,3.0,0.020499999,0.4352,0.998,0.2045811784541862,0.24667,2.47,2.132,3.406,2.008
GM,2.0,0.48,0.0108,0.049200002,1.5,1.0343376136373195,0.058930002,4.43,0.825,1.076,179.941
GPC,3.0,4.0,0.0274,0.4073,0.966,0.4163308327183997,0.05702,2.26,0.425,1.227,117.378
HAS,9.0,2.8,0.0498,3.2557998,0.696,0.15996395236971,-0.29766,5.19,0.766,1.13,332.787
HLT,1.0,0.6,0.0028,0.13859999,1.257,1.086151147397486,0.25885,2.23,0.614,0.702,
HD,5.0,9.0,0.025899999,0.5533,0.983,7.035641594964782,0.09919,2.96,0.322,1.352,5086.303
LVS,8.0,0.6,0.0117,0.25,1.177,0.7948973170898455,0.11772,1.83,1.264,1.306,348.441
LEN,1.0,2.0,0.0125,0.1141,1.526,0.8968790388159672,0.11585,1.67,3.662,12.641,16.832
LKQ,10.0,1.2,0.024,0.3196,1.282,0.2723823083983362,0.0675,2.38,0.441,1.467,91.247
LOW,5.0,4.4,0.0187,0.32950002,1.124,2.753215087535854,0.089449994,3.05,0.059,1.225,
LULU,5.0,,,,1.325,0.901137516857042,0.16115,3.22,1.452,2.489,33.158
MAR,7.0,2.08,0.008,0.1925,1.62,1.5231813594026031,0.48937,3.92,0.393,0.427,
MCD,7.0,6.68,0.0249,0.5389,0.708,3.9582280074363396,0.33219,2.53,1.031,1.164,
MGM,6.0,0.01,0.00029999999,,2.202,0.28973915786803434,0.07086,4.14,1.279,1.571,724.46
MHK,5.0,,,,1.337,0.15359491339409803,-0.039470002,3.12,0.8,1.781,41.287
NKE,8.0,1.48,0.015700001,0.41759998,1.101,2.848780923344614,0.10141,2.01,1.672,2.741,85.063
NCLH,10.0,,,,2.595,0.16206782686337656,0.01944,2.78,0.113,0.217,4895.763
ORLY,8.0,,,,0.873,1.306481742431434,0.14840001,2.16,0.104,0.725,
POOL,4.0,4.4,0.0116,0.32209998,0.993,0.4302941437961528,0.09442,10.38,0.531,2.355,103.938
PHM,6.0,0.8,0.0072000003,0.058000002,1.561,0.4768244759035251,0.16202,2.33,0.91,6.834,25.735
RL,6.0,3.0,0.0182,0.3401,1.548,0.21559347665123735,0.08902001,2.96,1.457,2.169,107.162
ROST,9.0,1.47,0.0105,0.241,1.043,0.958978097500527,0.09199,1.45,1.198,1.767,117.991
RCL,7.0,,,,2.534,0.7015510029492471,0.12209,6.35,0.094,0.191,451.725
SBUX,2.0,2.28,0.026500002,0.5775,0.971,1.9876878834909868,0.11704001,2.04,0.484,0.699,
TSLA,8.0,,,,2.415,11.364471960180369,0.15496999,1.0,1.141,1.726,15.05
TJX,8.0,1.5,0.0156,0.3348,0.865,2.219627144412101,0.08252,2.1,0.592,1.212,171.761
TSCO,5.0,4.4,0.0176,0.4083,0.839,0.5518796177178678,0.076069996,9.17,0.184,1.499,234.258
ULTA,3.0,,,,1.311,0.4418557923144637,0.11519,1.97,0.588,1.711,83.845
WYNN,8.0,1.0,0.0098,0.1187,1.947,0.24016615731479057,0.11176,2.35,1.85,1.928,
MO,10.0,3.92,0.0946,0.84029996,0.695,2.591951916114861,0.39655,3.54,0.376,0.493,
