Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
GOOGL,Alphabet,Communication Services,Interactive Media & Services,"Mountain View, California",3/4/14,1652044,1998
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",20/9/21,891103,1986
META,Meta,Communication Services,Interactive Media & Services,"Menlo Park, California",23/12/13,1326801,2004
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",20/12/10,1065280,1997
OMC,Omnicom Group,Communication Services,Advertising,"New York City, New York",31/12/97,29989,1986
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York City, New York",30/9/94,813828,2019 (Paramount Pictures 1912)
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",19/3/18,946581,1993
VZ,Verizon,Communication Services,Integrated Telecommunication Services,"New York City, New York",30/11/83,732712,1983 (1877)
DIS,Walt Disney,Communication Services,Movies & Entertainment,"Burbank, California",30/6/76,1744489,1923
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",18/9/23,1559720,2008
AMZN,Amazon,Consumer Discretionary,Broadline Retail,"Seattle, Washington",18/11/05,1018724,1994
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",24/12/12,1521332,1994
AZO,AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",2/1/97,866787,1979
BBWI,Bath & Body Works,Consumer Discretionary,Other Specialty Retail,"Columbus, Ohio",30/9/83,701985,1963
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",29/6/99,764478,1966
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",6/11/09,1075531,1996
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",19/12/11,908255,1880
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",22/3/21,1590895,1973
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",28/6/10,1170010,1993
CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",22/12/98,815097,1972
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",28/4/11,1058090,1993
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",31/5/95,940944,1938
